productId,slug,familyName,canonicalProductName,strength,vialSizeMl,finishedSizeInches,pixelSizeAt600Dpi,png,pdf,archived,storefrontVisible
cmp1x0ysz000gbot9phlwxrp7,retatrutide-20mg,Retatrutide,Retatrutide,20mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 20mg - 3mL Label.png,3ml/pdf/Retatrutide 20mg - 3mL Label.pdf,False,True
cmp1x0ys1000ebot9hlvg8318,retatrutide-10mg,Retatrutide,Retatrutide,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 10mg - 3mL Label.png,3ml/pdf/Retatrutide 10mg - 3mL Label.pdf,False,True
cmp1x0yuv000kbot9rf73ss79,retatrutide-40mg,Retatrutide,Retatrutide,40mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 40mg - 3mL Label.png,3ml/pdf/Retatrutide 40mg - 3mL Label.pdf,False,True
cmp1x0ysi000fbot93z22t9e5,retatrutide-15mg,Retatrutide,Retatrutide,15mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 15mg - 3mL Label.png,3ml/pdf/Retatrutide 15mg - 3mL Label.pdf,False,True
cmp1x0yvc000lbot93o61carm,retatrutide-50mg,Retatrutide,Retatrutide,50mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 50mg - 3mL Label.png,3ml/pdf/Retatrutide 50mg - 3mL Label.pdf,False,True
cmp1x0yti000hbot9pfplrpw5,retatrutide-24mg,Retatrutide,Retatrutide,24mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 24mg - 3mL Label.png,3ml/pdf/Retatrutide 24mg - 3mL Label.pdf,False,True
cmp1x0yrj000dbot903qfrtkq,retatrutide-5mg,Retatrutide,Retatrutide,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 5mg - 3mL Label.png,3ml/pdf/Retatrutide 5mg - 3mL Label.pdf,False,True
cmp1wfec80002101lr442r8ci,retatrutide-60mg,Retatrutide,Retatrutide,60mg,3,1.75 x 0.75,1050 x 450,3ml/png/Retatrutide 60mg - 3mL Label.png,3ml/pdf/Retatrutide 60mg - 3mL Label.pdf,False,True
cmp1x10790030bot9o6tpi405,slu-pp-332-5mg,SLU-PP-332,SLU-PP-332,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/SLU-PP-332 5mg - 3mL Label.png,3ml/pdf/SLU-PP-332 5mg - 3mL Label.pdf,False,True
cmp1x0z77001abot99rc97f5i,ss-31-10mg,SS-31,SS-31,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/SS-31 10mg - 3mL Label.png,3ml/pdf/SS-31 10mg - 3mL Label.pdf,False,True
cmp1x0z7o001bbot90aym90ga,ss-31-50mg,SS-31,SS-31,50mg,3,1.75 x 0.75,1050 x 450,3ml/png/SS-31 50mg - 3mL Label.png,3ml/pdf/SS-31 50mg - 3mL Label.pdf,False,True
cmp1x102m002nbot9hh55rdoj,selank-11mg,Selank,Selank,11mg,3,1.75 x 0.75,1050 x 450,3ml/png/Selank 11mg - 3mL Label.png,3ml/pdf/Selank 11mg - 3mL Label.pdf,False,True
cmp1x1026002mbot9fivslvyd,selank-5mg,Selank,Selank,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/Selank 5mg - 3mL Label.png,3ml/pdf/Selank 5mg - 3mL Label.pdf,False,True
